Category,6/1/2015,6/2/2015,6/3/2015,6/4/2015,6/5/2015,6/6/2015,6/7/2015,6/8/2015,6/9/2015,6/10/2015,6/11/2015,6/12/2015,6/13/2015,6/14/2015,6/15/2015,6/16/2015,6/17/2015,6/18/2015,6/19/2015,6/20/2015,6/21/2015,6/22/2015,6/23/2015,6/24/2015,6/25/2015,6/26/2015,6/27/2015,6/28/2015,6/29/2015,6/30/2015,7/1/2015,7/2/2015,7/3/2015,7/4/2015,7/5/2015,7/6/2015,7/7/2015,7/8/2015,7/9/2015,7/10/2015,7/11/2015,7/12/2015,7/13/2015,7/14/2015,7/15/2015,7/16/2015,7/17/2015,7/18/2015,7/19/2015,7/20/2015,7/21/2015,7/22/2015,7/23/2015,7/24/2015,7/25/2015,7/26/2015,7/27/2015,7/28/2015,7/29/2015,7/30/2015,7/31/2015,8/1/2015,8/2/2015,8/3/2015,8/4/2015,8/5/2015,8/6/2015,8/7/2015,8/8/2015,8/9/2015,8/10/2015,8/11/2015,8/12/2015,8/13/2015,8/14/2015,8/15/2015,8/16/2015,8/17/2015,8/18/2015,8/19/2015,8/20/2015,8/21/2015,8/22/2015,8/23/2015,8/24/2015,8/25/2015,8/26/2015,8/27/2015,8/28/2015,8/29/2015,8/30/2015,8/31/2015,9/1/2015,9/2/2015,9/3/2015,9/4/2015,9/5/2015,9/6/2015,9/7/2015,9/8/2015,9/9/2015,9/10/2015,9/11/2015,9/12/2015,9/13/2015,9/14/2015,9/15/2015,9/16/2015,9/17/2015,9/18/2015,9/19/2015,9/20/2015,9/21/2015,9/22/2015,9/23/2015,9/24/2015,9/25/2015,9/26/2015,9/27/2015,9/28/2015,9/29/2015,9/30/2015,10/1/2015,10/2/2015,10/3/2015,10/4/2015,10/5/2015,10/6/2015,10/7/2015,10/8/2015,10/9/2015,10/10/2015,10/11/2015,10/12/2015,10/13/2015,10/14/2015,10/15/2015,10/16/2015,10/17/2015,10/18/2015,10/19/2015,10/20/2015,10/21/2015,10/22/2015,10/23/2015,10/24/2015,10/25/2015,10/26/2015,10/27/2015,10/28/2015,10/29/2015,10/30/2015,10/31/2015,11/1/2015,11/2/2015,11/3/2015,11/4/2015,11/5/2015,11/6/2015,11/7/2015,11/8/2015,11/9/2015,11/10/2015,11/11/2015,11/12/2015,11/13/2015,11/14/2015,11/15/2015,11/16/2015,11/17/2015,11/18/2015,11/19/2015,11/20/2015,11/21/2015,11/22/2015,11/23/2015,11/24/2015,11/25/2015,11/26/2015,11/27/2015,11/28/2015,11/29/2015,11/30/2015,12/1/2015,12/2/2015,12/3/2015,12/4/2015,12/5/2015,12/6/2015,12/7/2015,12/8/2015,12/9/2015,12/10/2015,12/11/2015,12/12/2015,12/13/2015,12/14/2015,12/15/2015,12/16/2015,12/17/2015,12/18/2015,12/19/2015,12/20/2015,12/21/2015,12/22/2015,12/23/2015,12/24/2015,12/25/2015,12/26/2015,12/27/2015,12/28/2015,12/29/2015,12/30/2015,12/31/2015,1/1/2016,1/2/2016,1/3/2016,1/4/2016,1/5/2016,1/6/2016,1/7/2016,1/8/2016,1/9/2016,1/10/2016,1/11/2016,1/12/2016,1/13/2016,1/14/2016,1/15/2016,1/16/2016,1/17/2016,1/18/2016,1/19/2016,1/20/2016,1/21/2016,1/22/2016,1/23/2016,1/24/2016,1/25/2016,1/26/2016,1/27/2016,1/28/2016,1/29/2016,1/30/2016,1/31/2016
Uncategorized,0,0.01703,0.0035,0.002,0.01999,0.00651,0,0,0.0152,0.007,0,0,0.0437,0,0,0.08015,0.0125,0,0,0,0,0,0.02399,0,0.04495,0.16595,0,0,0,0.03715,0,0.06396,0.006,0,0.0017,0,0,0.15015,0,0.01749,0,0,0,0.03298,0.002,0,0.31593,0.02849,0.02999,0.03684,0.003,0,0,0.055,0.02795,0.002,0,0.02199,0.03695,0,0.02999,0.04319,0.0027,0.01,0.30326,0.10632,0.11497,0.12669,0.36599,0.16398,0.20766,0.072,0.09033,0.0187,0.029,0.01305,0.01,0.0267,0.03999,0.00635,0.11069,0.07935,0.4388,0.27,0.1027,0.0027,0.07999,0.0197,0.0047,0.08873,0.00405,0.002,0.00135,0.00405,0.002,0.0163,0.00135,0.0067,0.002,0.20483,0.01405,0.00135,0.02435,0.078,0,0.0027,0,0.004,0.00535,0.006,0.00405,0,0,0.015,0,0.00405,0,0.0181,0.00135,0,0.011,0.00189,0.00389,0.01263,0.06199,0.00485,0.00789,0,0.01688,0,0.02089,0.04735,0.01128,0.00335,0.002,0,0.002,0,0.07534,0.0035,0.00495,0.07699,0.004,0.0103,0.01335,0.05135,0.0047,0.00135,0.00596,0,0.00513,0.0027,0.0612,0.00405,0,0,0,0,0.00135,0.0027,0,0.05598,0,0,0.02999,0.07832,0.00335,0.002,0,0,0.0027,0.002,0.00606,0,0.002,0,0,0.00135,0,0.002,0.002,0.0027,0,0,0,0,0,0.002,0.002,0,0.055,0,0,0.03398,0.017,0.002,0,0,0.02175,0.02495,0,0.002,0,0,0,0,0.047,0,0.002,0.00249,0.02999,0,0,0,0.01,0.002,0,0.099,0,0,0.03999,0.00499,0,0,0,0,0,0,0.03999,0,0.0465,0.002,0.002,0,0,0,0.01499,0,0,0,0,0,0,0,0
Beverages,0.0045,0.002,0,0,0,0,0.006,0.002,0,0.004,0,0.002,0.004,0.002,0.002,0.002,0,0.003,0.007,0.003,0.005,0.003,0.004,0.002,0.009,0,0.0045,0.0035,0,0,0.0165,0.012,0.003,0.003,0.0075,0,0.009,0.0055,0,0.0015,0.014,0.0035,0.002,0.004,0.0035,0.0055,0.004,0.002,0.006,0.004,0.008,0.002,0.006,0,0.012,0.008,0.004,0.011,0.002,0.002,0.0085,0.0205,0,0.002,0.006,0.0145,0.008,0.0045,0,0.0065,0.0075,0.007,0.003,0.0015,0,0.004,0.003,0,0,0,0.0015,0,0.003,0,0.008,0.009,0,0.0115,0.009,0.0205,0.016,0.002,0.008,0.009,0.007,0.016,0.027,0.0075,0.003,0.004,0.016,0.0055,0,0.006,0.0035,0,0.008,0.0055,0.0065,0.008,0.019,0.0105,0.002,0,0,0.0035,0,0,0.004,0,0,0.002,0.003,0.004,0.004,0.003,0,0,0,0.0015,0.002,0.0015,0,0.002,0,0.003,0.002,0.0015,0.0075,0.017,0.002,0.002,0.0015,0.0015,0.009,0.0115,0.0275,0.002,0.0035,0.0105,0.0075,0.011,0.01,0.006,0.0035,0.007,0.0015,0.0035,0.006,0.0125,0.005,0,0.008,0.004,0.002,0.002,0,0.004,0,0.002,0.0015,0.0035,0.005,0.0035,0.0015,0.0015,0,0.005,0,0.006,0.0045,0.0045,0.0025,0.001,0.0015,0.002,0.001,0.0065,0.0035,0.01,0.002,0.0025,0.0045,0,0.004,0.001,0.002,0.0015,0,0,0.002,0.0055,0,0,0,0,0,0,0,0,0.0015,0,0,0.008,0,0.009,0.003,0,0,0,0,0.0045,0.004,0.0035,0,0.002,0,0.0015,0.003,0,0.0055,0,0.002,0.0035,0.002,0.004,0.0015,0.004,0.002,0.002,0,0.002,0.002,0.004,0.006
Board Games,0.13985,0,0.05999,0,0,0.119,0,0.13999,0,0,0,0.06494,0.0449,0.05995,0,0,0.01999,0.1199,0,0.02999,0,0,0.10598,0.147,0,0.00995,0.0839,0.01,0.025,0.06854,0,0,0.02094,0.025,0.08899,0,0.10493,0,0.0549,0.01895,0,0.08994,0.04169,0.01499,0.06899,0,0.16239,0.04158,0.01485,0.00495,0.08687,0.08401,0.01798,0.00495,0.00198,0.07498,0.05495,0.014,0,0.00495,0.08498,0.00299,0,0.20509,0,0.13201,0,0,0.01199,0.075,0.04436,0.09995,0.23927,0,0,0.06992,0.09995,0,0.02495,0.05,0,0.00999,0.06188,0.03994,0,0.01999,0,0.35317,0.06999,0.07997,0.0399,0,0,0.06193,0.01995,0,0.11994,0.01999,0.03895,0.02999,0,0.04195,0.0599,0.2129,0.0399,0.10997,0.07395,0,0,0.02995,0.33386,0.03499,0.01485,0.009,0.04799,0.0599,0.30813,0.03994,0,0,0.00299,0.06094,0.03499,0.1189,0.32176,0.06097,0,0.05605,0.03993,0.09098,0,0.01995,0.0799,0.05829,0.02995,0.01999,0.0575,0.05998,0.15587,0.01999,0,0,0,0.03995,0.13493,0.10199,0.02999,0.07995,0.01499,0,0,0.0245,0.07994,0,0.05999,0.02999,0,0,0,0.08498,0,0.01295,0.01699,0.01895,0.10298,0.01495,0.14478,0,0.00249,0,0.1349,0,0,0.13697,0.10492,0.049,0.07998,0.04994,0,0.28382,0.15985,0,0.05,0.03395,0.01499,0.04499,0.1447,0.19976,0.07499,0.06,0,0,0,0.12586,0.26497,0.06399,0.14497,0,0.07497,0.09288,0.2739,0.06393,0.03195,0.10997,0.03198,0.17382,0.02797,0,0.04198,0.04999,0.20994,0.00798,0.34189,0.15687,0.02998,0.08494,0.03999,0.02,0.08997,0.00595,0.06999,0,0.04995,0,0.02999,0,0,0.09917,0,0.07297,0.1499,0,0.01,0,0,0,0.05,0.04495,0.01995,0,0,0.04698,0,0.06998,0.00399
Bottled Beverages,0.06491,0.09296,0.07796,0.06095,0.10846,0.1049,0.09836,0.06994,0.09347,0.01646,0.03043,0.03097,0.07192,0.01495,0.01392,0.02395,0.03742,0.04698,0.07294,0.04042,0.02497,0.03398,0.06697,0.04447,0.03443,0.06593,0.10139,0.03097,0.02048,0.03495,0.0665,0.05097,0.06448,0.05598,0.042,0.03599,0.08146,0.03199,0.017,0.026,0.0685,0.0255,0.016,0.0305,0.0445,0.0185,0.10097,0.0365,0.021,0.013,0.032,0.0375,0.0385,0.05798,0.031,0.026,0.0205,0.061,0.0295,0.01,0.03149,0.0545,0.0245,0.0325,0.0475,0.017,0.033,0.04398,0.0305,0.028,0.02498,0.0365,0.03999,0.03399,0.055,0.09349,0.0215,0.01699,0.03748,0.011,0.0365,0.038,0.0575,0.048,0.0265,0.02047,0.04948,0.0554,0.12189,0.10846,0.09184,0.02147,0.06197,0.01249,0.02798,0.07243,0.09545,0.0479,0.04546,0.07642,0.08596,0.01696,0.08141,0.08095,0.05345,0.03046,0.02694,0.021,0.03449,0.05995,0.15475,0.06994,0.03849,0.023,0.06444,0.0245,0.05798,0.12998,0.04196,0.013,0.03649,0.0405,0.05147,0.1094,0.12991,0.07347,0.02399,0.03248,0.06398,0.0325,0.06946,0.09871,0.04648,0.02874,0.02123,0.043,0.03475,0.06475,0.06394,0.03448,0.031,0.03875,0.0375,0.0435,0.07149,0.075,0.08875,0.03375,0.04375,0.04375,0.03375,0.0745,0.0765,0.0295,0.028,0.0625,0.0555,0.0205,0.04548,0.1115,0.06,0.015,0.0425,0.03,0.029,0.068,0.06575,0.053,0.026,0.017,0.04225,0.062,0.09725,0.074,0.0355,0.03374,0.05,0.049,0.005,0.0665,0.042,0.03,0.0125,0.038,0.0255,0.032,0.05525,0.10923,0.05349,0.0285,0.03,0.0115,0.0165,0.082,0.0545,0.0435,0.0175,0.0275,0.04125,0.03875,0.0305,0.0635,0.02525,0.024,0.057,0.06048,0.0205,0.018,0.03924,0.05399,0.06374,0.05675,0.03825,0.051,0.09122,0.10197,0.091,0.04325,0.036,0.055,0.05325,0.0715,0.07675,0.0655,0.02575,0.0325,0.05025,0.046,0.053,0.12325,0.0675,0.0355,0.03125,0.05375,0.0375,0.05322,0.06675,0.054,0.04925,0.05825,0.048,0.02825,0.06125,0.09075,0.05525
Candy,0.0025,0.0063,0.0063,0.0052,0.00555,0.00905,0.00125,0.0027,0.0047,0.0032,0.00185,0.0037,0.0015,0,0.00135,0.0042,0.00125,0.0037,0.00545,0.00405,0.0032,0.00135,0.0064,0.0025,0.00275,0.00025,0.00025,0.0052,0.00025,0.00235,0.00175,0.0043,0.00235,0,0.0031,0.00185,0.0062,0.00235,0.00295,0.0036,0.0042,0.00285,0.0047,0.00615,0.00705,0.00395,0.00135,0.0016,0.001,0.00185,0.00865,0.00135,0.0053,0.00345,0.0032,0.00135,0.00135,0.00135,0.0054,0,0.00075,0.00335,0.0016,0.0005,0.00135,0.00235,0.00025,0.00815,0.0155,0.00655,0.00025,0.0026,0.0061,0.00135,0.00475,0.0016,0.0036,0.0032,0.00615,0.00075,0.0077,0,0.00225,0.00815,0.00235,0.00135,0.00425,0.00295,0.00075,0.0129,0.00295,0.0073,0.00135,0.00235,0.00075,0.0033,0.00615,0.00165,0,0.0028,0.00735,0,0.00335,0.00905,0.0045,0.00475,0,0,0.0043,0.00135,0.01315,0.0088,0.00295,0.0005,0.00135,0.00135,0.002,0.00605,0.0074,0,0.00265,0.00025,0.0016,0.00635,0.00485,0.00445,0.0079,0,0.0029,0.00025,0.00485,0.01225,0.00215,0.00795,0.0042,0.00375,0.00515,0.00725,0.00475,0.0036,0.0084,0.0034,0.00865,0.0078,0.0039,0.01655,0.01225,0.00705,0.0046,0.0045,0.00325,0.0057,0,0,0.00415,0.0014,0,0.002,0.0095,0.00335,0.00435,0,0.00275,0.0055,0.0015,0.00725,0.0046,0.0059,0.00335,0.00375,0.00125,0.00135,0.01965,0.0122,0.00735,0.00695,0.01105,0.0077,0.0014,0.0075,0.00845,0.0037,0.0042,0.00575,0.0035,0.00435,0.00625,0.0073,0.00505,0.00275,0.0026,0.00135,0.0051,0.0026,0.00675,0.00635,0.0027,0.00025,0,0,0.0016,0.00875,0.00295,0.01505,0.00335,0.00185,0.0016,0.00185,0.00635,0.0051,0.012,0.00945,0.0042,0.00635,0.01035,0.0113,0.0113,0.008,0.00285,0.00565,0.00534,0.00851,0.01392,0.0096,0.00269,0.0086,0.00262,0.00075,0.0043,0.0123,0.0108,0.00956,0.00754,0.00545,0.01012,0.01945,0.02228,0.01035,0.0139,0.01754,0.0091,0.01325,0.00695,0.01035,0.01837
Canned Beverages,0.009,0.043,0.058,0.0465,0.0245,0.0195,0.014,0.0105,0.0165,0.0225,0.0285,0.0405,0.0195,0.027,0.024,0.0315,0.0345,0.024,0.0285,0.0405,0.0255,0.019,0.0165,0.0255,0.027,0.0195,0.0375,0.0255,0.009,0.049,0.027,0.0255,0.027,0.0135,0.012,0.0345,0.036,0.024,0.036,0.015,0.0155,0.0115,0.0075,0.0295,0.0255,0.0165,0.0475,0.033,0.0225,0.0225,0.022,0.018,0.0295,0.0725,0.0415,0.0345,0.0135,0.0395,0.0235,0.029,0.0435,0.0315,0.012,0.0565,0.0295,0.018,0.0335,0.0405,0.028,0.028,0.024,0.023,0.035,0.0175,0.0235,0.1065,0.0085,0.049,0.0335,0.0155,0.0235,0.06,0.0285,0.017,0.0395,0.044,0.036,0.043,0.0395,0.0265,0.0265,0.015,0.0175,0.065,0.03,0.049,0.064,0.0115,0.049,0.0055,0.02,0.0155,0.028,0.0545,0.018,0.0215,0.0415,0.0215,0.028,0.0295,0.025,0.026,0.012,0.0315,0.037,0.03,0.0315,0.102,0.03,0.024,0.009,0.006,0.0105,0.026,0.0245,0.022,0.024,0.012,0.009,0.015,0.021,0.017,0.0015,0.0085,0.024,0.019,0.021,0.0315,0.0265,0.006,0.0015,0.02,0.0115,0.03025,0.0295,0.0435,0.04,0.0085,0.0115,0.0175,0.0105,0.0425,0.0495,0.022,0.0225,0.029,0.038,0.022,0.0315,0.0395,0.019,0,0.006,0.0115,0.009,0.03,0.023,0.024,0.013,0.018,0.0265,0.017,0.0585,0.022,0.0115,0.009,0.012,0.01,0.003,0.021,0.0395,0.01,0.019,0.018,0.0215,0.001,0.0215,0.0215,0.015,0.019,0.0195,0.013,0.03,0.035,0.0305,0.0205,0.0205,0.022,0.0165,0.0165,0.024,0.0265,0.001,0.009,0.022,0.011,0.0055,0.007,0.004,0.005,0.0285,0.0185,0.009,0.012,0.013,0.02,0.013,0.007,0.0075,0.001,0.005,0.0225,0.016,0.009,0.0145,0.013,0.022,0.024,0.017,0.0535,0.0145,0.002,0.0055,0.004,0.011,0.0515,0.011,0.003,0.0125,0.01,0.0125,0.0165,0.0235,0.02049,0.0175
